评论ID,评价内容,情感倾向,评价长度,长度分类
1,"位置离高铁站近 装修有审美 很舒适 工作人员服务态度良好 有问必答 一开门就迎上来上茶水 房间空间很大 入住了两晚 床品很舒服 收拾及时 每晚有水果和小蛋糕 早餐也很不错 餐具可以再齐全一些 比如抹面包的餐刀  还体验了颂钵 很放松 
感谢前台小娟和管家小郭的热情服务 如果下次来乐山玩 会优先选择安珀~",正面,152,中等(101-200字)
2,酒店的硬件是不错的，毕竟才开没得两年。因为新，也是最近到乐山的首选。只是服务越来越差，也不能叫差，就是跟不上，因为人员太少。这么大个酒店，我第一次在酒店餐厅，早餐的高峰期看到，就一个服务员在服务。收桌，摆台，回答客人问题。员工再优秀，有分身术麻，也搞不赢麻。体验感非常的差。。生意难做，控制成本，是没的问题的。但是，这样搞，合理的人员配置都没有安排够，怕是难搞哦。。,负面,183,中等(101-200字)
3,房间很好，环境很好，服务也不错，除了一开始到门外没注意看大堂在哪里（标识不太清楚~）各方面都超预期。中餐厅有个服务员服务意识不太行，但是中餐厅的餐品出品很不错！酒店里亲子活动区域建议明亮度高一些，太暗了对小朋友参加活动时候眼睛不好。餐厅好几位服务都超棒，吧台的小帅哥服务超级好，调酒也非常棒！下次再去乐山的话，首选还会是这里~就冲着酒都会再去~,正面,172,中等(101-200字)
4,"酒店设计感和低奢风格保持一贯水准，公区和房间细节爽心悦目。前台的妹妹们都友好专业，清洁没有死角，酒店楼下停车和迷你吧水果都比较加分。大门过于低调刚开始有点难找。

乐山小吃铺天盖地导致审美疲劳，没有在酒店餐厅吃饭有点遗憾。周边比较…开发区，走路600米有万达餐饮圈",负面,132,中等(101-200字)
5,位置在乐山的新城区，周边可能不如老城区那边热闹，但是一样不引响住宿的心情！房间宽敞明亮，住的非常的舒服！就是叫车进酒店不是太方便，感觉像在会所一样！其他都还不错！中间出点小插曲，无意间把房间衣架带走了，已经寄回，再此表达歉意🙏,正面,113,中等(101-200字)
6,每次来乐山我和家人最喜欢住的酒店就是安珀啦！这次来有了新的调整，增加了一些亲子活动和手工，Spa和疗愈。之前的大堂改造了一下夜间变成了孩子们观看电影的区域，大人正好在后面酒吧喝酒，度假感有了！感谢一直帮我们协调和处理问题的小鑫和小帅，下次再见哦！,中性,123,中等(101-200字)
7,酒店内外装修很有特色 设计感很足 连L层卫生间满墙绿植都很漂亮 送的吃喝有点多 感觉我吃不下浪费了 另外就是个别客人素质实在。。。哎😑,正面,67,短(51-100字)
8,"先说好的吧。设施：很不错，迷你吧:很丰富，欢迎水果:很不错，环境：很好，应该是乐山排的上号的酒店了。
再说其他的服务：还需要提升，办理入住前主动帮拿行李这个是酒店最基本的服务意识，还希望加强培训。早餐种类略少，进去的时候只有一个人，工作人员反复告诉你我们要收餐了，反复到让人很不适，蛋烘糕的台子没有人，如果确实是摆设的话完全可以撤掉，然后我看了时间，不到10点半的时间陆续来工作人员了，来是做什么呢，来收餐，非常的积极，效率也很快，希望酒店经理能看到此条进行整改。作为黑钻用户，给最真实的点评，而不是昧着事实去写不符合的。退房有个女生印象很深刻，一直等到我们车走才离开。觉得很温馨，希望酒店改进不足，还是会推荐客人来入住的，下次希望焕然一新吧。
展开更多",正面,327,长(201-500字)
9,走安全通道，被困在了安全通道十多分钟，联系酒店前台无人应答，酒店安全通道设置了认证，外面打不开里面也打不开,中性,53,短(51-100字)
10,"这个酒店真的超预期了
整体都很好
还有一些游乐项目
亲子绘趣•童趣手作•欢乐童映
下次来乐山还会住这里的",正面,52,短(51-100字)
11,亲子绘趣•童趣手作•欢乐童映酒店活动很丰富，正好赶上酒店酒吧开业，鸡尾酒nice,正面,40,极短(≤50字)
12,"挺不错的，下次还会再来的，

环境：挺好的
服务：都挺不错的服务很好",正面,34,极短(≤50字)
13,"对贵阳安珀一直都很满意，专注于管家式服务，于是来到乐山首选安珀酒店，结果服务令我大失所望！而且让我体验到最低级的错误！爬完峨眉山回来在房间内睡午觉，睡到一半客房阿姨刷房卡进来把我和先生惊醒了，她说送什么东西 我说不要她还站在房间门口不走，我叫阿姨赶紧出去才关上门！这么打造高级的酒店连最基本的安全感都给不了客人。其实就当时被打开门那下感觉被触犯到觉得很生气后面就平静下来了，入住期间我出门时给前台不同的人反馈了两次，前台的人都是抱歉，抱歉，不好意思！然后也没有任何的解决办法和措施弥补客人，我在回程的高铁上写下这条差评，并不是我在乎酒店要怎么给我优惠，而是作为高端酒店居然犯这种低级错误且解决方案我认为实在是太不专业了！贵阳有的管家式服务这里是一点也没有体验到，没有专门对接客人的人，外卖送到楼下也不提醒客人，更别说送到房间。总之，服务这块真的差强人意
展开更多",负面,381,长(201-500字)
14,非常顶的酒店，很惊喜在乐山居然有这种等级的酒店。虽然稍微里老城区远了一些，但周边商业其实也很成熟，有万达广场，去老城区也就20分钟车程，适合开车自驾的朋友，停车场也非常干净大气。酒店硬件非常新，装修风格是法式味道，床品和卫浴用品都非常好。唯一遗憾是这么新的酒店电视不能投屏有点落后了。不过瑕不掩瑜，下次来乐山还会再来住。,正面,160,中等(101-200字)
15,离高铁站超近，房间很舒适，酒店环境超好，很安静。要不是行程紧凑下一站要去贵阳，真想续住，下次来乐山还选择这家。,正面,55,短(51-100字)
16,这次入住安珀，给我的感觉就是服务堪称一流，其清洁程度也堪称一绝，且设备设施齐全，下午茶也非常精美，让人回味无穷。在交通方面，酒店地处便利的地理位置，旁边就是万达，前往高铁站打车10min左右，下次来乐山会继续选择。,正面,107,中等(101-200字)
17,酒店位于乐山城区，与万达购物中心毗邻，出门吃个饭非常方便。酒店整体风格雅致舒适，房间温馨整洁，工作人员热情周到。早餐略简单，有停车，进出方便。,正面,71,短(51-100字)
18,非常新的酒店，房间很大，设施齐全，环境好安静，服务管家也很热心，早餐很丰富，来之前还在纠结怎么样的酒店，真是意外之喜。下次还会选择的也很推荐。,正面,71,短(51-100字)
19,"帮客户预定的，全程线上沟通。
前台小姐姐态度非常好，入住办理很顺畅
环境非常不错，卫生干净。设施设备非常完善智能化",正面,57,短(51-100字)
20,百年安珀的法式浪漫体现在酒店的每一处细节上，房间布陈尽显法式情怀和中国古典美的碰撞交融，唯一不足是窗外的城景无法与酒店自身相映成辉。服务很有温度，在乐山这样的非一线城市，工作人员能主动问好，实属难得，不错的入住体验，可以一试。,中性,113,中等(101-200字)
21,这次出行入住体验超赞！前台小娟和小郭办理入住时，工作人员热情周到，效率极高。早餐菜品丰富多样，美味可口。还意外享受到免费升级房型，简直惊喜满满，必须好评！,正面,77,短(51-100字)
22,"因为喜欢这个酒店，连续一周去了乐山5天
非常非常棒的体验
就这个价格来说，非常舒适
早餐很好，朋友都喜欢，健身房比较小",正面,59,短(51-100字)
23,"因为朋友的婚宴放在这里所以就订了房间
没想到竟是意外之喜
细节体现品质所以一定要夸一下这酒店
服务意识和态度都非常值得表扬👍
酒店的早餐让我突然有种回到上海吃Brunch的感觉，每个服务人员态度都很好，用餐体验极佳😊
敲重点：这里的跷脚牛肉秒杀外面的知名店铺，特别特别好吃，不仅入味还一点腥味都没，蛋烘糕也好好吃，香甜脆糯，可依照自己的喜好选择咸甜口味PS：不是我一个人在夸，是其他客人都在夸👍
另外点名表扬一下水疗中心的冯店长，峨眉山下来累的浑身酸，上来咨询SPA课程，结果遇到母亲节搞福利，店长不仅帮我摁了肩颈还放松了腰和小腿，手法特别好，按完浑身轻松真的很nice所以一定要点名表扬，酒店的服务真的超预期，完全不输五星酒店，不要固化思维一定要给尝试新酒店
展开更多",正面,335,长(201-500字)
24,很多小细节都能看出非常用心，确实这个定价物超所值。住了那么多酒店，安珀的酒店用品非常舒适。床品质量非常好，睡的很舒服。唯一有一点点不能理解的是办理入住在一楼稍显唐突的感觉，办理入住时人多就会感觉拥挤和有点不舒适。,正面,106,中等(101-200字)
25,"居然还好意思点名要好评！还给发话术！！好评都是这样来吧吗？出行前预定了这家所谓乐山最好的酒店，从入住开始就很不专业行李都是我们自己搬上搬下，连基本的礼宾服务都没有，心想出来玩就算了。结果，返程的时候由于赶高铁时间紧张，提前15分钟告诉酒店让把行李拿到一楼大厅，直接装车出发了.正常的都会放在门口等车来直接搬上车，我们从入住的体验也感觉到了酒店的服务体系可能连基本线都不在，也没什么期待只想着在一楼大厅放着就好，结果我们回去非但行李不在一楼办入住那里放着，我们还自己取行李寄存拿的！！！！！本来就够恼火了，居然还要好评！就这服务哪来的脸要？基本线都达不到！
展开更多",正面,282,长(201-500字)
26,"一定要避雷这个酒店的spa 被坑的很惨
跟朋友来乐山玩 入住了安珀酒店  酒店入住赠送了500元spa代金券 今天下雨被雨淋到下午又无事 就预定了13楼的spa （打电话预定的时候明确提到有线上和线下的服务项目 到时候可以选一下）到店的了 工作人员介绍了项目 选择了定价1698的全身中式疏通经络spa 一直强调 线上线下有一些不一样（这个是重点！） 我也想着 打折后1198的spa在乐山 是怎么样的一个服务 服务员要求提前交钱 我支付了2396  体验过程中 完全就是非常正常的疏通经络spa （我本人是一个非常喜爱spa的人 什么价位的也都尝试过）  我当时按完我觉得 真的没啥特别的 而且 按摩过程中 按摩师还会跟你聊天 两个按摩师还会互聊天 马上结束的时候 就觉得 这一千多 真的不值 我就打开了大众点评 看到了 60分钟的 经络疏通spa 378元 我们这个90分钟的 打完折1198？ 我就问了按摩师 我说我们现在这个项目 是不是就是经络疏通？ 按摩师说是的 我说 那跟大众点评上的 经络疏通有什么不一样么？ 按摩师说手法会有一些不一样 我说哪里不一样 后来得知 90分钟1698的（店里的项目会按的细一点）60分钟378的（就是每个地方带过一下）  但是手法都是一样的 都是经络疏通 1698的会多一个 经络棒 在你背上滚一滚 还有十分钟的 熏艾 说实话 真的不值 我带着疑惑 到了前台询问 觉得定价与服务完全的不匹配 到最后得到的答案让我理解的是 他们店就是高级  就这样的定价 事先也跟你说了价格服务你也体验了你钱都交了  线上线下服务就是不一样 贵的就给你好好按 线上便宜 当然不一样 而且线上的便宜的需要提前一天预约 （大众点评上明确标注 提前一小时预约 就是摆明了 你只能选择线下 你只能被宰）好的 我认了 我也不是来找茬的 朋友们避雷吧 我认了 但是这个店真的有问题 同样的疏通经络 你多花钱就给你好好按 少花钱就给你带过一下 我觉得服务不应该有两套标准的 避雷吧 感觉 这店也不在乎 消费者的体验 想做spa的 真的推荐 无一物 我在成都总去这一家  据说乐山店更好 性价比真的高 如果你不差钱认宰当然这家首选！ 
针对酒店来说设计 配置都还不错 赠送了两杯酒 可以去酒吧兑换 想喝酒的花点钱吧 赠送的酒跟水差不多 枕头 非常不舒服 （后来才知道有很多种可以选择）睡了两天 都落枕了 赠送了spa代金券 结果被宰的更多 管理人也没有想解决问题的态度 服务员 还骄傲的说道 他们spa主理人 去过北京 上海 深圳都体验过了 两万八的 三万八的 都体验过 总之就是一些真实体验感受 借鉴吧 酒店可以住 不差钱 可以被坑的 也可以去体验下spa 

昨天发了一篇spa的真实评价 好笑的是 招来了酒店员工集体的恶意评价 一方面说会好好处理背地里却这样来控评 实在让人感到唏嘘 难道真实消费都不能说出真实感受了么？最后酒店工作人员给的解决方案是 下次来升为套房 请问我真的会来下一次么？
展开更多",负面,1259,极长(>500字)
27,非常满意，服务棒棒￼,正面,10,极短(≤50字)
28,酒店的设计非常好 房间布局也很合理 住的很舒服 办理入住的小鱼非常热心 办理退房时小鑫还询问入住的体验 帮忙寄存行李  酒店办入住时还赠送了酒吧的饮品劵 是一个值得二刷的酒店[ThumbsUp][ThumbsUp],正面,107,中等(101-200字)
29,应该是乐山数一数二高标准的酒店了，酒店很新，设备设施配套都很不错，适合带小朋友亲子游，还有各种手工活动，小朋友很喜欢。房间空调不是很给力，酒店及时更换了一个升级的房间，给服务点个赞。酒店距离景区也很方便，适合自驾亲子带娃。,正面,111,中等(101-200字)
30,入住时发现房间门锁坏了，管家及时帮更换了房间，稍微尴尬一下。酒店设施比较新，有一定品质。喜欢那些四川特色的挂画，趣味盎然。缺点是卫生间马桶噪音较大，光线刺眼，空间偏小。床不太舒服，空调对着床吹，遭不住。,负面,101,中等(101-200字)
31,服务非常人性化，设施齐备，态度一流，环境雅致。下午茶很精致，周围也很安静，睡眠舒适度高，值得下次入住！还赠送了伴手礼、小温馨。,正面,63,短(51-100字)
32,房间很舒服，服务很棒！卫生干净到位，地理位置也很好，早餐还需提升，品质和种类比其他的安铂酒店显得逊色了，电视没有投屏。其他都很满意，床品很舒服！,正面,72,短(51-100字)
33,酒店设施一流，服务周到贴心，接站工作人员小帅很细致周到。,正面,28,极短(≤50字)
34,"硬件有投入！大门和前台的设计都是有质感的很高级。房间装修风格简单大气，床品布草质量高很舒服！
服务很用心！管家小帅帮我们解决了所有问题，还提供了很贴心的服务，一次性浴缸罩，水果 甜点 夜宵 水都准备的很到位！
比肩甚至超越五星级的标准",正面,117,中等(101-200字)
