评论ID,客户类型,住宿时长,问题分类,评论长度,评论内容
2,普通客户,未知,"服务问题, 餐饮问题",183,酒店的硬件是不错的，毕竟才开没得两年。因为新，也是最近到乐山的首选。只是服务越来越差，也不能叫差，就是跟不上，因为人员太少。这么大个酒店，我第一次在酒店餐厅，早餐的高峰期看到，就一个服务员在服务。收桌，摆台，回答客人问题。员工再优秀，有分身术麻，也搞不赢麻。体验感非常的差。。生意难做，控制成本，是没的问题的。但是，这样搞，合理的人员配置都没有安排够，怕是难搞哦。。
3,家庭客户,未知,"服务问题, 房间设施, 餐饮问题",172,房间很好，环境很好，服务也不错，除了一开始到门外没注意看大堂在哪里（标识不太清楚~）各方面都超预期。中餐厅有个服务员服务意识不太行，但是中餐厅的餐品出品很不错！酒店里亲子活动区域建议明亮度高一些，太暗了对小朋友参加活动时候眼睛不好。餐厅好几位服务都超棒，吧台的小帅哥服务超级好，调酒也非常棒！下次再去乐山的话，首选还会是这里~就冲着酒都会再去~
4,普通客户,未知,"房间设施, 餐饮问题, 清洁卫生",132,"酒店设计感和低奢风格保持一贯水准，公区和房间细节爽心悦目。前台的妹妹们都友好专业，清洁没有死角，酒店楼下停车和迷你吧水果都比较加分。大门过于低调刚开始有点难找。

乐山小吃铺天盖地导致审美疲劳，没有在酒店餐厅吃饭有点遗憾。周边比较…开发区，走路600米有万达餐饮圈"
6,家庭客户,未知,其他,123,每次来乐山我和家人最喜欢住的酒店就是安珀啦！这次来有了新的调整，增加了一些亲子活动和手工，Spa和疗愈。之前的大堂改造了一下夜间变成了孩子们观看电影的区域，大人正好在后面酒吧喝酒，度假感有了！感谢一直帮我们协调和处理问题的小鑫和小帅，下次再见哦！
8,商务客户,未知,"服务问题, 房间设施, 餐饮问题",327,"先说好的吧。设施：很不错，迷你吧:很丰富，欢迎水果:很不错，环境：很好，应该是乐山排的上号的酒店了。
再说其他的服务：还需要提升，办理入住前主动帮拿行李这个是酒店最基本的服务意识，还希望加强培训。早餐种类略少，进去的时候只有一个人，工作人员反复告诉你我们要收餐了，反复到让人很不适，蛋烘糕的台子没有人，如果确实是摆设的话完全可以撤掉，然后我看了时间，不到10点半的时间陆续来工作人员了，来是做什么呢，..."
13,普通客户,未知,"服务问题, 房间设施, 价格争议, 管理问题",381,对贵阳安珀一直都很满意，专注于管家式服务，于是来到乐山首选安珀酒店，结果服务令我大失所望！而且让我体验到最低级的错误！爬完峨眉山回来在房间内睡午觉，睡到一半客房阿姨刷房卡进来把我和先生惊醒了，她说送什么东西 我说不要她还站在房间门口不走，我叫阿姨赶紧出去才关上门！这么打造高级的酒店连最基本的安全感都给不了客人。其实就当时被打开门那下感觉被触犯到觉得很生气后面就平静下来了，入住期间我出门时给前台不同...
14,朋友聚会,未知,"房间设施, 位置交通",160,非常顶的酒店，很惊喜在乐山居然有这种等级的酒店。虽然稍微里老城区远了一些，但周边商业其实也很成熟，有万达广场，去老城区也就20分钟车程，适合开车自驾的朋友，停车场也非常干净大气。酒店硬件非常新，装修风格是法式味道，床品和卫浴用品都非常好。唯一遗憾是这么新的酒店电视不能投屏有点落后了。不过瑕不掩瑜，下次来乐山还会再来住。
20,商务客户,未知,房间设施,113,百年安珀的法式浪漫体现在酒店的每一处细节上，房间布陈尽显法式情怀和中国古典美的碰撞交融，唯一不足是窗外的城景无法与酒店自身相映成辉。服务很有温度，在乐山这样的非一线城市，工作人员能主动问好，实属难得，不错的入住体验，可以一试。
26,商务客户,未知,"服务问题, 房间设施, 价格争议, 管理问题",1259,"一定要避雷这个酒店的spa 被坑的很惨
跟朋友来乐山玩 入住了安珀酒店  酒店入住赠送了500元spa代金券 今天下雨被雨淋到下午又无事 就预定了13楼的spa （打电话预定的时候明确提到有线上和线下的服务项目 到时候可以选一下）到店的了 工作人员介绍了项目 选择了定价1698的全身中式疏通经络spa 一直强调 线上线下有一些不一样（这个是重点！） 我也想着 打折后1198的spa在乐山 是怎么样..."
30,普通客户,未知,"房间设施, 清洁卫生",101,入住时发现房间门锁坏了，管家及时帮更换了房间，稍微尴尬一下。酒店设施比较新，有一定品质。喜欢那些四川特色的挂画，趣味盎然。缺点是卫生间马桶噪音较大，光线刺眼，空间偏小。床不太舒服，空调对着床吹，遭不住。
34,普通客户,未知,房间设施,117,"硬件有投入！大门和前台的设计都是有质感的很高级。房间装修风格简单大气，床品布草质量高很舒服！
服务很用心！管家小帅帮我们解决了所有问题，还提供了很贴心的服务，一次性浴缸罩，水果 甜点 夜宵 水都准备的很到位！
比肩甚至超越五星级的标准"
35,普通客户,未知,"房间设施, 餐饮问题, 清洁卫生, 预订问题",158,酒店管家提前电话沟通，还给我们免费升级了房间，入住体验感提升，房间设施很新，干净卫生，戴斯吹风机，咖啡机，智能马桶该有的都有。酒店地下车库停车方便，入住期间每天赠送迷你吧和水果，晚安迷你小点心。早餐环境安静，服务很好，早餐主打精致，品类有限，口味不错，电视机略小且无法投屏，有点遗憾，退房后前台赠送了一份零食小礼物。
39,普通客户,未知,"房间设施, 餐饮问题",175,这是这次旅行最满意的一家酒店。设施非常高档和新，风格也很独特和简约。服务人员每个方面都没得说，非常友好和主动。房间条件很好，干净整洁，床是我睡过的最舒服的。智能马桶和戴森吹风机等等也提高了入住体验。隔音也非常好。早餐选择多，质量很高，也没有过分追求花样。住了五六天，每天都很满意。下次还会来这里住。唯一的遗憾是健身房略小，没有游泳池这些。但瑕不掩瑜。
41,普通客户,未知,"服务问题, 房间设施, 预订问题",116,房间设施什么的都ok，对的上这个价位，就是当晚办入住酒店前台人员服务态度差，预订前酒店主动和我沟通协商的房型说的预留，到店后以满房为由，未提供任何解决方案，同时旁边有位住客办理入住房型已满给的升房的方案，不晓得是啥子原因差异这么大。
44,普通客户,未知,"房间设施, 餐饮问题",131,酒店设计很独特，房间地面都是大理石的，很有格调，看得出来老板在设计上是下了功夫的。这次没有预定早餐，下次有机会来品尝早餐，听说很不错，有乐山特色小吃。特别表扬一下前台小娟和小方，从预定拜访到办理入住以及住店期间帮忙解决各种问题，都彰显了服务的专业以及热情的态度。
45,朋友聚会,未知,"房间设施, 位置交通, 清洁卫生",191,"优点：干净卫生，法式装修，说实话超出了我对乐山地区酒店的预期，对特殊要求也很关注，服务态度好，喜欢，肯定会再来住的，也会推荐朋友来乐山玩就住这家
缺点：1.离市区较远，不过打车方便便宜20分钟20块左右
2.外卖没有小机器人送货，只能自取
3.空调稍微有点吵
4.还有就是WiFi密码藏的太深了，建议入住的时候跟客户提示一下，我自己问了，退房时也听到有客人打电话到前台询问
展开更多"
46,商务客户,未知,预订问题,181,"这次以纪念日选择入住，没想到惊喜从预订那一刻就开始了！提前告知行程后，酒店不仅贴心布置了客房，还准备了精致的红丝绒小蛋糕，浪漫氛围直接拉满。
办理入住时，前台小杨细心又热情，全程微笑服务，让人倍感温暖。退房时还收到了一份精美的伴手礼，这份心意实在难得。
安珀酒店工作人员的用心，让我们的纪念日充满了仪式感。这样注重细节的服务，一定会让我们再次选择这里。
展开更多"
47,普通客户,未知,"房间设施, 价格争议, 位置交通",76,据说是乐山目前最贵的酒店位置没有华邑哪么热闹但边上也有万达广场小众设计师酒店服务各方面还蛮好的房间也很大餐饮口味都做的不错属于少而精管家服务也挺到位的。
49,普通客户,1晚,"房间设施, 清洁卫生",151,"非常 非常棒的酒店，在上海能买2089一晚。
房间干净，minibar脱脂奶给好评，还有漱口水，但是牙膏有点难挤
公区非常厉害，有一个影厅晚上在放柯南，看得很开心，不同时段有各种活动
健身房边上的卫生间门口还有一个黑胶唱片机和一面黑胶墙
服务非常周到，check in有送饮料，小帅小郭非常好，有求必应"
50,商务客户,2晚,"房间设施, 餐饮问题, 预订问题",132,"两晚的入住整体感受非常好！
管家小方姑娘全程服务热情周到，无处不在的体贴服务。接送站的祝师傅和袁师傅驾驶技术好、服务好、前台小姐姐礼貌接待速度快。入住的第二个房晚预订了含早房间，没让我们失望，早餐味道不错，餐厅的工作人员也都热情细致。
这是一次让人满意的入住体验！"
53,普通客户,未知,"房间设施, 餐饮问题, 清洁卫生",249,"酒店整体很不错，房间很有设计感，洗漱台和浴缸在房间一左一右，去房间感觉有个客厅一样，卧室在在里面，有分区，特别亮点是，浴缸的水很大，放水非常快，洗漱用品品质不错，意大利进口的，有点小奢的感觉。卧室床头背景墙用的浅绿，对面墙上有屏风对称呼应，采用宋式风格，现代与传统的结合。地板用大理石地砖，加仿木地板，有点别致。
酒店很注重细节，连公共卫生间都用心，放有一次性漱口水，门口放有美式书架，还有唱片播放，..."
58,普通客户,未知,"房间设施, 餐饮问题",48,酒店很大气，服务也很好，房间宽敞整洁，设施全。美中不足的是早餐厅比较小，光线较暗。总体比较满意。
61,普通客户,未知,餐饮问题,84,第二次入住乐山安珀酒店了，每次来乐山玩的首选酒店。服务还是一如既往的好，特别感谢管家小方和小帅，入住期间有任何问题，都回复得超级及时。早餐还是超级丰富，入住体验非常好👍
62,普通客户,未知,"房间设施, 餐饮问题, 管理问题, 清洁卫生",268,"整个酒店服务都不错，设施设备也很新，房间卫生做的很干净，提供的一次性东西，下午茶都不错！这些是加分项然后
说几点小意见第一电视不能投屏，这是一个现代化酒店该有的配置第二送的整个的水果没有配水果刀，当然出于安全的考虑，但是那就应该配不用切的水果，这个小细节，可能很多人没有注意到第三早餐的水果橘子太酸了，叶儿耙不好吃，这个你们外面买的，而且作为乐山特色，是不是应该选个更好吃的，烧麦也是外面买的，你们有..."
70,普通客户,未知,"餐饮问题, 位置交通",100,前台小娟小方服务热情，有需要联系前台很快就送来了，不错。酒店设计整体不错，看得出老板花了心思的。缺点就是没有洗衣房，没有外卖机器人，有点不方便。时间原因没有去体验酒店早餐，据说不错，下次有机会去体验。
71,普通客户,未知,"房间设施, 价格争议, 清洁卫生",132,"卫生：卫生确实做的很不错
环境：环境看得出来很用心 连去酒店的接站路线也是老板精心挑选
服务：服务美中不足 忘了晚上的甜品 第二天联系管家后也立马补上并送了小礼物
设施：这个只能说及格吧 毕竟在乐山他的价格摆着。
总的来说 来乐山这起码不踩雷不照骗。太多照骗小酒店"
77,商务客户,未知,"房间设施, 餐饮问题, 位置交通, 清洁卫生",59,房间卫生干净，装修简洁，位置离市中区较远，适合商务入住，不太适合旅行入住，前台服务好，早餐样式较少，酒店周围环境一般。
81,普通客户,未知,清洁卫生,81,环境卫生各方面都很不错，也会有小点心和水果，还会准备一些饮品，都很不错；唯一的小缺点就是没有机器人上门，晚间碰上只有一位值班就只能自己下去拿，希望以后可以改进一下
